Connetablie;Correspondance
En le rue d'Aubemarle, au les deviers les Malades ;NA
En le Grant rue ;Rue de Valenciennes , Douai, France
En le rue dou Gardin ;NA
Sour le fosset si c'on va ou Mares Douysien ;NA
Dehuers le porte dou Markiet en le Grant rue ;Rue de Valenciennes , Douai, France
En le ruiele Ydain le Cousturiere ; Rue François Cuvelle, Douai, France
En l'atre Nostre Dame ;Terrasse Notre Dame , Douai, France
Sour le fosset si c'on va a Barllet ;NA
En le rue Pepin ;Rue Henri Dunant , Douai, France
A Barllet, sour le place ;Place du Barlet , Douai, France
Devens le porte dou Markiet ; 151 Place D'Armes, Douai, France
Ou Pont ;Rue de la Mairie , Douai, France
En le Grant rue au Cierf ; Rue de Paris, Douai, France
Dehuers le porte au Chierf, sour le fosset ; Ruelle des Archers, Douai, France
En le Grant rue ; Rue de Paris, Douai, France
En le premiere ruiele de Barllet ; Rue des Clarisses, Douai, France
En le moiene rue de Barllet ; Rue Mongat, Douai, France
En le rue dou Bourdiel ;Place du Barlet , Douai, France
Dehuers le porte Olivet, en le rue des Bougres ;470 Rue de Paris , Douai, France
Dehuers le porte de Cunteleu ; 160 Rue du Canteleu, Douai, France
En le rue le Provost ; Rue du prévôt, Douai, France
En le rue des Escos ; Rue des Cotteries, Douai, France
Devens le porte Canteleu, en le rue Dame Augut ; Place Robert-Schuman, Douai, France
En le Grand rue devens le porte ; 80 Rue du Canteleu, Douai, France
En le rue de Belaing ; Rue de Bellain, Douai, France
Deriere le Maselaine ; Rue de la Madeleine, Douai, France
En le rue des Luisiaus, devant le boukete de l'atre ;Rue Saint-Christophe , Douai, France
Ens ou fosset Maugart ; 50 Rue des Ferroniers, Douai, France
En le rue Saint Piere ; Rue Léon Gambetta, Douai, France
En le rue des Drakiers ; 220 Rue des Ferroniers, Douai, France
En le rue dou Maisiel a le char ; Rue de la boucherie, Douai, France
En le rue dou Puch Fullori, si c'on va ou Maisiel as porees ; Rue du Cloché Saint-Pierre , Douai, France
En le ruiele Espinoke le Rous ;Rue des Huit Prêtres , Douai, France
En le rue d'Ainfroi ;Rue du Béguinage , Douai, France
Ou Més ;NA
Ou petit Més ;NA
En le rue des Foulons ;Rue des Foulons , Douai, France
Au pont ou Cardonnoit ;Rue Foucques , Douai, France
Devens le porte de Lannoit ; Quai de Augustins, Douai, France
Deriere Saint Venant ;NA
Dehuers le porte Saint-Nicholaï, si c'on va en Lannoit ;100 Rue  Saint-Nicolas , Douai, France
Au Four des Eves ;NA
En le rue de l'Aubiel ; Rue Théophile Bra, Douai, France
En le rue Pute i muce ; Rue du Kiosque, Douai, France
Ou Castiel bourgois ; Rue des Dominicain, Douai, France
Ou Maisiel au pisson ;Place du Marché aux Poissons , Douai, France
Es Viés Maisiaus ;NA
En le Saunerie ; Rue Merlin de Douai, Douai, France
Sour le Rivage et en le place dou Maisiel as porees ;Pont du Rivage , Douai, France
Ou Maisiel as porees ;Rue des Wetz, Douai, France
En le rue devens le porte des Wés ; Rue du Gouvernement, Douai, France
Dehuers le porte des Wés, en le Grant rue ; Rue Notre Dame des Wetz, Douai, France
En le rue Paskendale ;Rue Jean de Gouy , Douai, France
En le rue Nueve ;NA
En le rue de l'Aubelet ;NA
En le rue des Bouloires ; Rue des Ecoles, Douai, France
En le rue Maulevaut ;Rue des Malvaux , Douai, France
En le rue Williaume de Saint Aubin ; Rue Saint-Thomas, Douai, France
En le rue de Corbie ;Rue fortier , Douai, France
En le rue Fai en paille ;NA
Dehuers le porte Saint-Jakeme, en le Grant rue ; Rue Saint-Jacques , Douai, France
En le rue Saint Jehan ;Rue Saint-Jean , Douai, France
En le rue le Carpentiere ;NA
En l'atre Saint Jakeme ;Rue morel , Douai, France
Devant le maison segneur Baude le Baude ;NA
En le place de Deuwioel ;Petite Place , Douai, France
Outre le pont Sainte Margrite ;Rue  Saint-Julien, Douai, France
En le rue des Meriens ; Rue du Gros Sommier, Douai, France
A le fontaine Cahet ;NA
Outre le pont Wicart ;NA
En le rue Jordain Clinchart ;NA
En le Grant rue dehuers le porte Saint Jakeme ; Rue Saint-Jacques , Douai, France
Dehuers le porte dou pont A l'Estanke En le basse rue des Navieurs ; Rue des Potiers, Douai, France
En le Grant rue Saint Aubin, au pont de Piere ;Rue Saint-Albin , Douai, France
A Oscre ; Rue d'Ocre, Douai, France
A Camp Florit ;NA
A Doregni ;NA
En le rue de le Trinité; Rue François Cuvelle, Douai, France
Dehuers le porte au Cherf ; Ruelle des Archers, Douai, France
Ou fosset Maugart ; 40 Rue des Ferroniers, Douai, France
En le rue de Belaing ; Rue de Bellain, Douai, France
Devens le porte de Canteleu ;  60 Rue du Canteleu, Douai, France, Douai, France
Au Puch Fullori ; Rue du Clocher Saint-Pierre, Douai, France