"","numRente","result"
"1","11.","Sour 6 maisons Jakemon de Pieronne, ki furent Bourghain Boschoise, et sour tout le tennement, aprés le fons de le tiere, 1 marc. Si sient entre le tenement Symon Buee, d'une part, et le tenement Jehan Piedoul, d'autre part. "
"2","22.","Sour 2 maisons Jehan Mulet. ki furent Mariien de Sym et furent ausi les Charteriers, et sour tout le tenement, aprés le fons de le tiere, demi marc. Si sient entre le tenement Crestiien le Merchier, d'une part, et le tenement Watier le Clerc, d'autre part. "
"3","33.","Sour 6 maisons Crestiien le Merchier, ki furent Bauduin d'Erchin, et sour tot le tenement, demi marc et 2 s. par. Si sient entre le tenement Jehan Mulet, d'une part, et le tenement Marien de Sym, d'autre part. "
"4","44.","Sour 3 maisons Jakemon le Plakeur et sour tout le tenement, aprés le fons de le tiere, 1 marc. Si sient entre le tenement Symon Belot, d'une part, et le tenement Marien de Ransart, d'autre part.  "
"5","55.","Sour les maisons Lotin et sour le gardin, et sour tout le tenement, aprés le fons de le tiere, demi ferton. Si sient entre le tenement Agniés Dou Riés, d'une part, et le tenement Amant de Landast, d'autre part. "
"6","66.","Sour le maison Huon de Herenghes et sour tout le tenement, 12 douysiens et 2 capons, dou fons de le tiere. Si siet entre le tenement Amant de Landast, d'une part, et le tenement Williaume le Codent, d'autre part.   "
"7","71.","Sour tout le tenement des Malades, 2 s. de douysiens et 2 capons, dou fons de le tiere. "
"8","82.","Sour le maison Jehennain de Carvin et sour le maison Nicholon Des Campiaus, et sour tout le tenement, aprés le fons de le tiere, 1 marc. Si sient entre le tenement Gillion de Bietune, d'une part, et le tenement Jehan le Carlier, d'autre part. "
"9","93.","Sour le maison Jehan Boukehort et sour tout le tenement, aprés le fons de le tiere, demi marc. Si siet entre le tenement Huon de Herenghes, d'une part, et le tenement Pieronnain de Courcieles, d'autre part. "
"10","104.","Sour 3 maisons Huon de Herenghes, ki furent Jehan Lescutier, et sour tout le tenement, aprés le fons de le tiere, 1 marc. Si sient entre le tenement Jehan le Pignier, d'une part, et le tenement Huon de Herenghes, d'autre part, u il maint. "
"11","115.","Sour 2 maisons Jehan de Lewarde, ki furent Gillion Cramete, et sour tout le tenement, aprés le fons de le tiere, marc et demi. Si sient entre le tenement Huon de Herin, d'une part, et le tenement Williaume Ramet, d'autre part. "
"12","126.","Sour le maison Robiert de Fierin et sour tout le tenement, et sour le maison Pieron le Ramet et sour tout le tenement, aprés le fons de le tiere, 1 marc. Si sient entre le tenement Robiert, ki fu vallés Robert d'Estrees, d'une part, et le tenement Sohier Dou Marés, d'autre part. "
"13","137.","Sour le maison Robiert, ki fu vallés Robert d'Estrees, et sour tout le tenement, 2 capons, dou fons de le tiere. Si siet entre le tenement Pieron Ramet, d'une part, et le tenement Jehan Mouton, d'autre part.  "
"14","148.","Sour toutes les maisons Baude l'Artisien et sour tous les tenemens, aprés le fons de le tiere, demi marc. Si sient entre le tenement Symon de Pieronne, d'une part, et le tenement des Malades, d'autre part. "
"15","159.","Sour les maisons Williaume le Veske et sour tous les tenemens, aprés le fons de le tiere, 1 marc. Si sient entre le tenement Mariien le Lienarde, d'une part, et le tenement des Charteriers, d'autre part. "
"16","1610.","Sour les maisons Robiert Cierfuel et sour tout le tenement, ki fu Gillion de Valenchienes, aprés le fons de le tiere, 1 ferton. Si sient entre le tenement Jehan de Riencourt, d'une part, et le tenement Lambiert d'Arras, d'autre part. "
"17","1711.","Sour le maison Uziliien d'Ostricort et sour 3 maisons, ki furent Pieron d'Ostricort, en le rue dou Gardin, et sour tous les tenemens, aprés le fons de le tiere, 1 marc. Si sient entre le tenement Robelee, d'une part. et le tenement Henri Dou Puch, d'autre part.   "
"18","181.","Sour 2 maisons, ki furent Gillion Dou Gardin, et sour tous les tenemens, aprés le fons de le tiere, 1 ferton. Si sient entre le tenement Gossart Pourciel, d'une part, et le tenement Watier de Ferin, d'autre part.  "
"19","192.","Sour 3 maisons Alain le Panetier et sour tous les tenemens dusque a l'euve, 1 ferton. Si sient entre le tenement Jehan de Viteri, d'une part, et le tenement Jehan Lavendier, d'autre part. "
"20","203.","Sour 13 maisons et sour le gardin les 2 sereurs des Lices, et sour tous les tenemens dusques a l'euve, apres le fons de le tiere, 51 s. et 2 d. par. Si sient entre le tenement Jehan Lavendier, d'une part, et le tenement Mikiel Dou Gardin, d'autre part. "
"21","214.","Sour 4 maisons Jehan Rousiel ki fu, et sour tous les tenemens dusques a l'eve, 24 s. par., aprés le fons de le tere. Si sient entre le tenement Henri Vingre, d'une part, et le tenement Williaume de Sailli, d'autre part.   "
"22","221.","Sour 4 maisons Jehan Mouton, ki furent veve Toullie, et sour tous les tenemens, 19 s. et 3 d. par., aprés le fons de le tiere. Si sient entre le tenement Polet le Merchier, d'une part, et le tenement Symon Buee, d'autre part. "
"23","232.","Sour le maison Watier Raingot, devant et deriere, et sour tout le tenement, 18 d. douysiens et 6 s. par., dou fons deletiere. Si siet entre le tenement dame Ghillain d'Estrees, d'une part, et le tenement Baude d'Estrees, ki fu Jehan Pilate, d'autre part.  "
"24","2412.","Sour 2 maisons les filles Martin de Dichi et sour tout le tenement, ki sient entre le porte des Freres Menus, d'une part, et le tenement Jakemon le Vakier, d'autre part, aprés le fons de le tiere, 4 mars. "
"25","2513.","Sour le maison Jakemon le Vakier et sour tout le tenement, ki fu Williaume Bysse, ki siet entre le tenement Martin de Dichi ki fu, d'une part, et le tenement Aloy le Barbeteur, d'autre part, aprés le fons de le tiere, demi marc.  "
"26","261.","Sour le maison Ghillain Leureuse, ki fu Mariien le Toiliere, et sour tout le tenement. Si siet entre le tenement Climenchiien de Gaignaing, d'une part, et le tenement Werin Chase Dieu, d'autre part. Aprés le fons de le tiere, 1 ferton. "
"27","272.","Sour le maison Werin Chase Dieu et sour tout le tenement, devant et deriere, ki siet entre le tenement Ghillain Leureuse, d'une part, et le tenement Raoul d'Erchin, d'autre part, aprés le fons de le tiere, marc et demi. "
"28","283.","Sour 2 maisons Raoul d'Erchin et sour tous les tenemens, ki sient entre le tenement Werin Chase Dieu, d'une part, et le tenement Jehan de Franche, d'autre part, ki fu Rikeut Tormente, 4 mars, 6 s. et 10 d. par. "
"29","294.","Sour le maison Saintain de Dichi, ki fu les Rumeuses, et sour tout le tenement, ki siet entre le tenement Jehan de Franche, d'une part, et le tenement Alain le Panetier, d'autre part, aprés le fons de le tiere, demi marc.  "
"30","305.","Sour 3 maisons Pieron de Le Cambe et sour tout le tenement, ki fu Aloul le Cambier, ki sient entre le crest dou fosset de le ville, d'une part, et le tenement de le ville, d'autre part. aprés le fons de le tiere, 1/2 marc.   "
"31","311.","Sour le maison Hennin Pourcelet, ki fu Bernart de Lannoi, et sour tout le tenement, ki iet entre le tenement, ki fu Andriu, ki fu vallés segneur Euberi Le Leu, d'une part, et le tenement Jehan de Bapaumes, d'autre part, aprés le fons de le tiere, 1 ferton. "
"32","322.","Sour le maison le prestre des Charteriers et sour le tenement dusques a l'eve, ki siet entre le tenement Werin Barde, d'une part, et le tenement Robiert d'Estrees ki fu, dou fons de le tiere, 1 capon et 3 d. douysiens. "
"33","333.","Sour le maison Gillion Louvri et sour tout le tenement, ki siet entre le tenement Emmelot Boine Broke, d'une part, et le tenement Mariien Louvri, d'autre part, aprés le fons de le tiere, 1 ferton. "
"34","344.","Sour 2 maisons Marotain, feme Sauwalon Painmoulliet ki fu, ki furent Vinçan de Prouvins, et sour tout le tenement, ki sient entre le ruiele Pepin, d'une part, et le tenement maistre Pieron Fauke, d'autre part, aprés le fons de le tiere, marc et demi et 3 s. par. "
"35","355.","Sour le maison maistre Pieron Fauke et sour 2 maisons, ki sient en le ruiele Pepin, et sour tous les tenemens, ki sient entre le tenement Mariien Painmoulliet, d'une part, et le tenement Hennin Chasse Dieu, d'autre part, aprés le fons de le tiere, 2 mars. "
"36","366.","Sour le maison Mehaut le Faveresse et sour tout le tenement dusque a l'eve, ki siet entre le tenement Robiert Cerfuel, d'une part, et le tenement Jehan de Franche, d'autre part, dou fons de le tiere, 4 lb. de douysiens. "
"37","377.","Sour le maison Marotain Painmoulliet et sour le maison Grart Painmoulliet, et sour tous les tenemens dusques a l'eve, ki sient entre le tenement Jehan de Franche, d'une part, et le tenement Mariien le Sourde, d'autre part, aprés le fons de le tiere, demi marc. "
"38","388.","Sour le maison Mariien le Sourde et sour tout le tenement, ki siet entre le tenement Grart Painmoulliet, d'une part, et le tenement Hennin le Hugier, d'autre part, aprés le fons de le tiere, 3 fertons. "
"39","399.","Sour les maisons Hennin le Hugier et sour tous les tenemens, ki sient entre le tenement Marien le Sourde, d'une part, et un autre tenement Marien le Sourde, d'autre part, si c'on va a Barllet sour le fosset, aprés le fons de le tiere, 1/2 marc.  "
"40","401.","Sour 2 maisons Margot le Merchiere et sour tous les tenemens, ki sient entre le tenement de le ville, d'une part, et le tenement Gillion le Rogier, d'autre part, aprés le fons de le tiere, 1/2 marc.  "
"41","412.","Sour 4 maisons Aalis Audegon et sour tous les tenemens, ki sient entre le tenement Gillion le Rogier, d'une part, et le wide place sour le fosset de le ville, d'autre part, aprés le fons de le tiere, 3 mars.   "
"42","421.","Sour le maison Pieron Langeville, et sour le maison Jehan de Haveskerke, et sour le maison Sarain de Lannoit, et sour tous les tenemens. Si sont ces 3 maisons tout d'un tenement. Si sient entre le tenement Simon Malet, d'une part, et le tenement Sarain de Lannoit, d'autre part, aprés le fons de le tiere, 5 fertons et 3 capons.  "
"43","432.","Sour 4 maisons Jehan Dou Bos et sour tous les tenemens, ki sient entre le fosset de le ville, d'une part, et le tenement Richart Pourciel, d'autre part, 12 douysiens et un capon, dou fons de le tiere. "
"44","443.","Sour le maison Godin et sour tout le tenement, ki siet entre le tenement Richart Pourciel, d'une part, et le tenement Juliane le Daulee, d'autre part, demi ferton et un capon, dou fons de le tiere. "
"45","454.","Sour 2 maisons les enfans Jakemon de Prouvins ki fu et sour tous les tenemens, ki sient entre le tenement Mariien le Sebyle, d'une part, et le tenement Agniés Dou Riés, d'autre part, demi marc.   "
"46","461.","Sour les maisons Jehan de Sym, ki furent Climent le Tondeur, et sour tous les tenemens, ki sient entre le tenement les enfans Leurenc Loure, d'une part, et le tenement Climent le Wantier, d'autre part, aprés le fons de le tiere, 5 fertons et 2 capons, dou fons de le tiere. "
"47","472.","Sour les maisons Jehan de Sym, ki furent Williaume le Tourneur, et sour tous les tenemens, ki sient entre le tenement Jehan de Sym, d'une part, et le tenement Bauduin le Soieur, d'autre part, demi ferton, dou fons de le tiere. "
"48","483.","Sour 2 maisons Bauduin le Soieur et sour tous les tenemens, ki sient entre le tenement Jehan de Sym, d'une part, et le tenement Ysabiel de Hainnau, marc et demi et demi ferton, dou fons de le tiere.  "
"49","494.","Sour le maison Wistasse le Wantier et sour le tenement dusques a l'eve, ki siet entre le tenement Grart Leleu, d'une part, et le tenement Enmain de Barlet, d'autre part, aprés le fons de le tiere, marc et demi. "
"50","505.","Sour les maisons Williaume de Barlet et sour tous les tenemens dusques a l'eve, ki sient entre le tenement Huon de Sym, d'une part, et le tenement Robiert Graviel, d'autre part, aprés le fons de le tiere 1 marc. "
"51","516.","Sour le maison ki fu Huon d'Oysi et sour 2 maisons Jehan le Carlier, ki sient entre le tenement Colart le Bourgois, ki fu Grart de Mastaing, d'une part, et le tenement Robiert Graviel, u les maisons sont abatues, d'autre part. aprés le fons de le tiere, 3 fertons. "
"52","527.","Sour 2 maisons Robiert le Blont et Bridain, se ni[e]ce, et sour tous les tenemens, et sour 3 maisons Symon Malet, ki furent Baudes d'Estrees et sour tous les tenemens, ki sient entre le tenement maistre Evrart Goulet, d'une part, et le tenement de l'ospital des Wés, d'autre part, aprés le fons de le tiere, demi marc.   "
"53","531.","Sour le maison Saintain, feme Pieron Chevalier ki fu, et sour tout le tenement, ki siet entre le porte dou Ma[r]kiet, d'une part, et le tenement ki fu Jakemon le Gontier, d'autre part, 3 mars; a prendre ce marc en 9 mars tout avant, ke Agniés Dou Riés i a. "
"54","542.","Sour le maison le femme Pieron d'Aubi, ki fu Jakemon le Gontier, et sour tout le tenement, ki siet entre le tenement Saintain le Chevaliere, d'une part, et le tenement Jehan de Le Cavene, ki fu Symon le Carlier, d'autre part, 3 fertons. "
"55","553.","Sour le maison Jehan de Le Cavene, ki fu Symon le Carlier, et sour tout le tenement, ki siet entre le tenement le feme Pieron d'Aubi, ki fu Jakemon le Gontier, d'une part, et le tenement Colart le Rikier, ki fu Waubiert Baudenne, d'autre part, 6 mars et 3 fertons. "
"56","564.","Sour le maison Colart le Rikier, ki fu Waubert Baudenne, et sour tout le tenement dusques as murs de le vile, ki siet entre le tenement Jehan de Le Cavene, d'une part, et le tenement Waubiert le Kievre ki fu, d'autre part, aprés le fons de le tiere, 12 mars. "
"57","575.","Sour le maison Waubiert le Kievre ki fu et sour tout le tenement, ki fu Waubiert Baudene, ki siet entre le tenement Colart le Rikier, d'une part, et le tenement Amant de Landast, d'autre part, aprés le fons de le tiere, 8 mars. "
"58","586.","Sour le maison Henri Dodin et sour tout le tenement ki fu Watier Dodin, le pere se femme, ki siet entre le tenement Agniés Le Leu, ki fu femme Jakemon de Landast, d'une part, et le tenement Rogier le Fevre, d'autre part, aprés le fons de le tiere, 4 mars et demi. Si fu li mars et 1/2 Bouart. "
"59","597.","Sour le maison Rogier le Fevre et sour tout le tenement, ki siet entre le tenement celui Rogier, d'une part, et le tenement Jehan de Lanete, d'autre part, aprés le fons de le tiere, 4 mars.  "
"60","608.","Sour le maison Mikiel d'Arras, ki fu Wicart le Monniier, et sour tout le tenement, ki siet entre le tenement Jehan de Masengarbe, ki fu Jakemon Enlart, d'une part, et le tenement d'Anchin, d'autre part, aprés le fons de le tiere, 15 mars. "
"61","619.","Sour le maison [Jakemon] Dou Cauçon et sour tout le tenement, ki fu Tiebaut le Talleur, ki siet entre le tenement le provost de Douay, ki fu Werin le Maieur, d'une part, et le tenement Agniés Dou Riés, d'autre part, 12 mars. "
"62","6210.","Sour le maison Agniés Dou Riés et sour tout le tenement, et sour le praiel et sour le porte dou Markiet, ki siet entre le tenement Jakemon Dou Cauçon, d'une part, et le tenement Saintain Chevaliere, d'autre part, dou fons de le tiere, demi marc.   "
"63","631.","Sour les maisons Mariien Audefroi et sour les tenemens, et sour le tenement, ki fu le maistre Jehan de Bainnes, ki sient entre le tenement de le vile, ki siet sour le Markié, d'une part, et le tenement Jehan de Masengarbe, d'autre part. aprés le fons de le tiere, 1 marc. "
